id,data_inversa,dia_semana,horario,uf,br
405151,2022-01-01,s�bado,01:35:00,PI,316
405158,2022-01-01,s�bado,02:40:00,PR,116
405172,2022-01-01,s�bado,05:22:00,MS,163
405203,2022-01-01,s�bado,07:00:00,RJ,101
405207,2022-01-01,s�bado,09:00:00,MG,40
405213,2022-01-01,s�bado,09:00:00,PB,116
405221,2022-01-01,s�bado,10:20:00,MG,40
405234,2022-01-01,s�bado,08:05:00,SC,163
405247,2022-01-01,s�bado,12:20:00,SC,101
405254,2022-01-01,s�bado,14:15:00,CE,116
405256,2022-01-01,s�bado,09:50:00,MT,70
405271,2022-01-01,s�bado,14:00:00,PE,423
405273,2022-01-01,s�bado,15:25:00,MT,364
405278,2022-01-01,s�bado,17:00:00,BA,101
405298,2022-01-01,s�bado,18:45:00,MG,365
405300,2022-01-01,s�bado,18:30:00,GO,60
405309,2022-01-01,s�bado,21:00:00,SP,116
405338,2022-01-02,domingo,00:00:00,BA,101
405368,2022-01-02,domingo,08:46:00,MT,364
405382,2022-01-02,domingo,10:40:00,MG,40
405384,2022-01-02,domingo,09:40:00,BA,116
405389,2022-01-02,domingo,08:10:00,BA,116
405395,2022-01-02,domingo,07:10:00,PR,116
405408,2022-01-02,domingo,08:20:00,SC,470
405416,2022-01-02,domingo,10:30:00,SC,470
405421,2022-01-02,domingo,14:00:00,MG,116
405424,2022-01-02,domingo,13:50:00,SC,101
405433,2022-01-02,domingo,10:00:00,GO,60
405442,2022-01-02,domingo,12:00:00,SC,116
405460,2022-01-02,domingo,16:00:00,DF,60
405466,2022-01-02,domingo,16:40:00,MG,381
405498,2022-01-02,domingo,16:00:00,SP,116
405508,2022-01-02,domingo,20:15:00,MG,40
405524,2022-01-02,domingo,18:00:00,PR,153
405542,2022-01-02,domingo,18:40:00,RS,290
405547,2022-01-02,domingo,20:40:00,MT,158
405558,2022-01-02,domingo,23:00:00,SC,101
405580,2022-01-03,segunda-feira,03:15:00,SC,101
405589,2022-01-03,segunda-feira,03:30:00,SC,101
405599,2022-01-03,segunda-feira,07:20:00,SC,101
405606,2022-01-03,segunda-feira,08:00:00,ES,101
405607,2022-01-03,segunda-feira,06:35:00,SC,101
405610,2022-01-03,segunda-feira,06:00:00,RJ,116
405611,2022-01-03,segunda-feira,08:00:00,GO,153
405624,2022-01-03,segunda-feira,08:45:00,GO,60
405633,2022-01-03,segunda-feira,09:40:00,SP,116
405644,2022-01-03,segunda-feira,07:30:00,MG,116
405658,2022-01-03,segunda-feira,09:45:00,BA,116
405683,2022-01-03,segunda-feira,12:10:00,SP,116
405687,2022-01-03,segunda-feira,11:30:00,RR,174
405691,2022-01-03,segunda-feira,08:02:00,PE,116
405695,2022-01-03,segunda-feira,13:37:00,GO,414
405699,2022-01-03,segunda-feira,11:05:00,MG,146
405701,2022-01-03,segunda-feira,11:03:00,MG,381
405707,2022-01-03,segunda-feira,13:10:00,MG,40
405731,2022-01-03,segunda-feira,12:30:00,MS,163
405732,2022-01-03,segunda-feira,14:00:00,MT,163
405733,2022-01-03,segunda-feira,15:30:00,RS,290
405734,2022-01-03,segunda-feira,16:50:00,SC,101
405742,2022-01-03,segunda-feira,15:55:00,SC,101
405746,2022-01-03,segunda-feira,17:05:00,PR,153
405759,2022-01-03,segunda-feira,15:20:00,RS,287
405760,2022-01-03,segunda-feira,17:55:00,PR,277
405761,2022-01-03,segunda-feira,17:45:00,RS,116
405762,2022-01-03,segunda-feira,16:30:00,GO,153
405767,2022-01-03,segunda-feira,17:45:00,RS,290
405770,2022-01-03,segunda-feira,17:30:00,PR,369
405772,2022-01-03,segunda-feira,13:45:00,SP,153
405794,2022-01-03,segunda-feira,17:30:00,BA,116
405797,2022-01-03,segunda-feira,20:40:00,BA,367
405802,2022-01-03,segunda-feira,18:10:00,PR,376
405819,2022-01-03,segunda-feira,23:41:00,MG,50
405820,2022-01-03,segunda-feira,21:15:00,MG,381
405821,2022-01-04,ter�a-feira,01:10:00,MT,158
405824,2022-01-04,ter�a-feira,04:55:00,MG,40
405830,2022-01-03,segunda-feira,19:13:00,MG,262
405832,2022-01-04,ter�a-feira,06:55:00,RJ,116
405833,2022-01-04,ter�a-feira,07:00:00,ES,262
405839,2022-01-04,ter�a-feira,07:15:00,RS,285
405843,2022-01-04,ter�a-feira,07:50:00,PA,10
405844,2022-01-04,ter�a-feira,05:30:00,GO,153
405849,2022-01-04,ter�a-feira,06:45:00,MG,262
405850,2022-01-04,ter�a-feira,08:30:00,MG,40
405855,2022-01-04,ter�a-feira,09:00:00,RN,101
405857,2022-01-04,ter�a-feira,06:45:00,MA,316
405861,2022-01-04,ter�a-feira,06:30:00,SP,116
405863,2022-01-04,ter�a-feira,04:30:00,MT,158
405868,2022-01-04,ter�a-feira,11:00:00,RS,386
405871,2022-01-04,ter�a-feira,10:00:00,AL,423
405874,2022-01-04,ter�a-feira,11:05:00,PR,116
405876,2022-01-04,ter�a-feira,10:19:00,PI,343
405878,2022-01-04,ter�a-feira,09:40:00,BA,101
405884,2022-01-04,ter�a-feira,12:40:00,RS,285
405891,2022-01-04,ter�a-feira,10:45:00,PR,163
405895,2022-01-04,ter�a-feira,13:35:00,RS,386
405900,2022-01-04,ter�a-feira,13:10:00,ES,262
405904,2022-01-04,ter�a-feira,12:05:00,MT,364
405908,2022-01-04,ter�a-feira,14:20:00,SC,470
405910,2022-01-04,ter�a-feira,14:30:00,AL,101
405912,2022-01-04,ter�a-feira,10:00:00,MA,135
405916,2022-01-04,ter�a-feira,14:25:00,PR,376
405918,2022-01-04,ter�a-feira,10:20:00,SP,116
405919,2022-01-04,ter�a-feira,09:50:00,MS,163
405924,2022-01-04,ter�a-feira,08:20:00,PR,277
405940,2022-01-04,ter�a-feira,17:15:00,MG,381
405947,2022-01-04,ter�a-feira,16:50:00,MS,163
405948,2022-01-04,ter�a-feira,17:20:00,SP,381
405959,2022-01-04,ter�a-feira,15:05:00,MT,174
405961,2022-01-04,ter�a-feira,19:10:00,SC,470
405964,2022-01-04,ter�a-feira,08:24:00,BA,101
405967,2022-01-04,ter�a-feira,19:10:00,ES,101
405970,2022-01-04,ter�a-feira,20:00:00,PE,232
405974,2022-01-04,ter�a-feira,18:00:00,BA,242
405978,2022-01-04,ter�a-feira,21:30:00,ES,101
405980,2022-01-04,ter�a-feira,21:20:00,SC,470
405983,2022-01-04,ter�a-feira,18:50:00,PI,343
405987,2022-01-04,ter�a-feira,19:30:00,SC,282
405993,2022-01-04,ter�a-feira,22:10:00,SC,101
405994,2022-01-04,ter�a-feira,19:00:00,MG,267
405998,2022-01-05,quarta-feira,00:35:00,SC,101
406004,2022-01-05,quarta-feira,04:45:00,PR,376
406007,2022-01-05,quarta-feira,05:00:00,MS,163
406023,2022-01-05,quarta-feira,07:00:00,SC,282
406026,2022-01-05,quarta-feira,08:20:00,CE,20
406027,2022-01-05,quarta-feira,08:15:00,SE,101
406036,2022-01-05,quarta-feira,10:00:00,AL,316
406042,2022-01-05,quarta-feira,06:30:00,PR,163
406053,2022-01-05,quarta-feira,11:30:00,MG,381
406057,2022-01-05,quarta-feira,11:10:00,RJ,40
406062,2022-01-05,quarta-feira,12:30:00,ES,101
406077,2022-01-05,quarta-feira,13:20:00,PR,369
406090,2022-01-05,quarta-feira,14:00:00,PI,316
406091,2022-01-05,quarta-feira,11:15:00,RS,285
406093,2022-01-04,ter�a-feira,18:50:00,MG,40
406101,2022-01-05,quarta-feira,12:50:00,MG,262
406102,2022-01-05,quarta-feira,10:20:00,MT,70
406105,2022-01-05,quarta-feira,13:45:00,PR,277
406112,2022-01-05,quarta-feira,16:45:00,ES,262
406113,2022-01-05,quarta-feira,17:10:00,ES,101
406123,2022-01-05,quarta-feira,16:00:00,RS,470
406125,2022-01-05,quarta-feira,12:00:00,PB,230
406135,2022-01-05,quarta-feira,18:55:00,GO,60
406136,2022-01-05,quarta-feira,18:50:00,SP,116
406141,2022-01-05,quarta-feira,14:30:00,MG,381
406142,2022-01-05,quarta-feira,08:30:00,PA,163
406146,2022-01-05,quarta-feira,20:00:00,GO,20
406149,2022-01-05,quarta-feira,15:50:00,SC,470
406152,2022-01-05,quarta-feira,18:35:00,BA,324
406155,2022-01-05,quarta-feira,06:30:00,MA,222
406158,2022-01-05,quarta-feira,16:30:00,MT,364
406164,2022-01-05,quarta-feira,16:12:00,MT,70
406167,2022-01-05,quarta-feira,22:20:00,SE,101
406171,2022-01-05,quarta-feira,22:15:00,MG,262
406176,2022-01-05,quarta-feira,21:30:00,PR,116
406181,2022-01-05,quarta-feira,23:30:00,RJ,101
406184,2022-01-06,quinta-feira,00:20:00,MG,40
406185,2022-01-05,quarta-feira,23:50:00,RJ,116
406187,2022-01-06,quinta-feira,03:00:00,SP,116
406195,2022-01-06,quinta-feira,05:50:00,PE,101
406970,2022-01-06,quinta-feira,06:30:00,SC,282
407016,2022-01-06,quinta-feira,12:23:00,RJ,101
407017,2022-01-06,quinta-feira,10:30:00,SP,116
407018,2022-01-06,quinta-feira,09:20:00,PR,376
407024,2022-01-06,quinta-feira,11:40:00,PR,277
407026,2022-01-06,quinta-feira,09:30:00,PI,135
407028,2022-01-06,quinta-feira,11:30:00,PE,428
407034,2022-01-06,quinta-feira,12:30:00,RJ,101
407036,2022-01-06,quinta-feira,08:50:00,MG,381
407039,2022-01-06,quinta-feira,08:30:00,MG,146
407042,2022-01-06,quinta-feira,13:50:00,MG,381
407054,2022-01-06,quinta-feira,06:50:00,SC,282
407056,2022-01-06,quinta-feira,13:30:00,SC,101
407059,2022-01-06,quinta-feira,06:00:00,SP,116
407061,2022-01-06,quinta-feira,14:20:00,MS,262
407066,2022-01-06,quinta-feira,06:15:00,MS,376
407071,2022-01-06,quinta-feira,15:05:00,ES,262
407089,2022-01-06,quinta-feira,11:45:00,MG,381
407091,2022-01-06,quinta-feira,16:00:00,PR,116
407095,2022-01-06,quinta-feira,07:50:00,MG,251
407096,2022-01-05,quarta-feira,05:00:00,BA,116
407097,2022-01-06,quinta-feira,14:35:00,SP,116
407109,2022-01-06,quinta-feira,17:50:00,MG,381
407122,2022-01-06,quinta-feira,13:30:00,MT,70
407127,2022-01-06,quinta-feira,17:50:00,GO,60
407128,2022-01-06,quinta-feira,18:00:00,RJ,116
407139,2022-01-06,quinta-feira,19:20:00,GO,364
407141,2022-01-06,quinta-feira,06:30:00,SP,116
407143,2022-01-06,quinta-feira,18:30:00,RJ,116
407145,2022-01-06,quinta-feira,18:00:00,RS,285
407154,2022-01-06,quinta-feira,20:30:00,ES,262
407159,2022-01-06,quinta-feira,20:15:00,MG,262
407161,2022-01-06,quinta-feira,21:30:00,PE,232
407162,2022-01-06,quinta-feira,21:00:00,MG,153
407163,2022-01-06,quinta-feira,20:00:00,PA,230
407164,2022-01-06,quinta-feira,21:10:00,GO,60
407167,2022-01-06,quinta-feira,12:09:00,SC,101
407171,2022-01-06,quinta-feira,18:29:00,PR,116
407173,2022-01-06,quinta-feira,20:00:00,RO,364
407175,2022-01-06,quinta-feira,22:30:00,MS,163
407177,2022-01-06,quinta-feira,23:00:00,BA,101
407180,2022-01-06,quinta-feira,23:38:00,RS,101
407181,2022-01-06,quinta-feira,22:10:00,MG,381
407184,2022-01-07,sexta-feira,00:30:00,GO,70
407189,2022-01-06,quinta-feira,15:00:00,BA,324
407190,2022-01-07,sexta-feira,04:00:00,RJ,116
407191,2022-01-06,quinta-feira,20:25:00,SC,158
407206,2022-01-07,sexta-feira,03:30:00,MG,365
407210,2022-01-07,sexta-feira,01:30:00,RR,174
407217,2022-01-07,sexta-feira,06:45:00,MT,163
407220,2022-01-07,sexta-feira,08:50:00,PB,230
407224,2022-01-07,sexta-feira,08:10:00,PI,316
407226,2022-01-07,sexta-feira,07:00:00,PR,376
407228,2022-01-07,sexta-feira,07:20:00,RS,158
